deal_ref,client_ref,event_time,item_code,item_label,grouping,qty,price,amount,value,territory,source,owner,status
D-300000,CL-5377,2023-11-01,SKU-102,Analytics Suite,Software,12,309,3708,3727,NA,ColdCall,Agent_11,Closed
D-300001,CL-7951,2024-12-02,SKU-102,Analytics Suite,Software,25,1635,40875,40845,APAC,Partner,Agent_10,Closed
D-300002,CL-2853,2023-07-27,SKU-201,POS Terminal,Hardware,1,1376,1376,1392,APAC,ColdCall,Agent_1,Lost
D-300003,CL-4081,2024-05-05,SKU-201,POS Terminal,Hardware,10,715,7150,7110,NA,Partner,Agent_7,Closed
D-300004,CL-6952,2024-05-13,SKU-201,POS Terminal,Hardware,6,842,5052,5059,EU,Partner,Agent_8,Lost
D-300005,CL-7621,2024-05-28,SKU-101,CRM Pro,Software,14,1364,19096,19074,EU,Partner,Agent_7,Closed
D-300006,CL-4677,2024-10-20,SKU-102,Analytics Suite,Software,12,497,5964,5989,NA,ColdCall,Agent_9,Lost
D-300007,CL-2444,2023-10-04,SKU-102,Analytics Suite,Software,24,1606,38544,38516,NA,ColdCall,Agent_11,Won
D-300008,CL-7532,2024-01-04,SKU-201,POS Terminal,Hardware,22,1041,22902,22944,EU,ColdCall,Agent_5,Won
D-300009,CL-2957,2024-10-16,SKU-102,Analytics Suite,Software,5,1342,6710,6672,APAC,ColdCall,Agent_3,Closed
D-300010,CL-4440,2023-10-31,SKU-102,Analytics Suite,Software,23,980,22540,22548,EU,Partner,Agent_9,Lost
D-300011,CL-5985,2024-05-09,SKU-201,POS Terminal,Hardware,21,977,20517,20468,APAC,ColdCall,Agent_6,Lost
D-300012,CL-5037,2023-04-27,SKU-101,CRM Pro,Software,18,337,6066,6056,NA,Web,Agent_7,Closed
D-300013,CL-5042,2023-01-17,SKU-102,Analytics Suite,Software,3,1317,3951,3928,EU,Web,Agent_8,Won
D-300014,CL-5558,2023-10-31,SKU-201,POS Terminal,Hardware,12,863,10356,10384,EU,Web,Agent_7,Won
D-300015,CL-4651,2024-01-16,SKU-201,POS Terminal,Hardware,24,1622,38928,38964,APAC,ColdCall,Agent_9,Lost
D-300016,CL-5766,2023-09-09,SKU-101,CRM Pro,Software,3,387,1161,1163,EU,ColdCall,Agent_1,Won
D-300017,CL-4050,2024-03-10,SKU-201,POS Terminal,Hardware,11,1292,14212,14250,EU,ColdCall,Agent_4,Won
D-300018,CL-7572,2024-07-09,SKU-101,CRM Pro,Software,22,723,15906,15924,EU,Partner,Agent_11,Lost
D-300019,CL-5348,2023-08-24,SKU-101,CRM Pro,Software,6,565,3390,3413,NA,Partner,Agent_6,Closed
D-300020,CL-3386,2023-11-02,SKU-101,CRM Pro,Software,10,1367,13670,13665,NA,ColdCall,Agent_4,Lost
D-300021,CL-7099,2023-12-28,SKU-101,CRM Pro,Software,19,833,15827,15792,APAC,Web,Agent_5,Won
D-300022,CL-2117,2024-10-05,SKU-102,Analytics Suite,Software,24,1408,33792,33815,NA,Web,Agent_10,Won
D-300023,CL-6933,2023-04-03,SKU-102,Analytics Suite,Software,7,686,4802,4796,NA,ColdCall,Agent_11,Lost
D-300024,CL-7511,2024-07-31,SKU-101,CRM Pro,Software,24,1148,27552,27602,EU,ColdCall,Agent_3,Closed
D-300025,CL-5633,2024-09-11,SKU-102,Analytics Suite,Software,19,284,5396,5400,EU,Web,Agent_4,Closed
D-300026,CL-5117,2023-01-03,SKU-102,Analytics Suite,Software,15,1206,18090,18064,NA,ColdCall,Agent_8,Closed
D-300027,CL-3828,2024-11-20,SKU-102,Analytics Suite,Software,24,1490,35760,35735,APAC,Web,Agent_10,Won
D-300028,CL-2104,2023-02-22,SKU-201,POS Terminal,Hardware,23,170,3910,3866,NA,ColdCall,Agent_6,Lost
D-300029,CL-4343,2024-10-07,SKU-201,POS Terminal,Hardware,14,412,5768,5735,NA,Web,Agent_8,Closed
D-300030,CL-5493,2024-03-28,SKU-201,POS Terminal,Hardware,10,537,5370,5379,EU,Web,Agent_9,Won
D-300031,CL-7392,2023-05-17,SKU-102,Analytics Suite,Software,22,915,20130,20081,EU,ColdCall,Agent_3,Won
D-300032,CL-5751,2023-10-31,SKU-201,POS Terminal,Hardware,3,1249,3747,3705,APAC,Web,Agent_3,Closed
D-300033,CL-3231,2023-10-06,SKU-102,Analytics Suite,Software,25,241,6025,6034,APAC,ColdCall,Agent_8,Closed
D-300034,CL-7884,2024-10-28,SKU-102,Analytics Suite,Software,5,1449,7245,7267,NA,Partner,Agent_5,Won
D-300035,CL-2320,2024-09-05,SKU-101,CRM Pro,Software,22,274,6028,6024,EU,Partner,Agent_4,Won
D-300036,CL-2540,2024-04-20,SKU-101,CRM Pro,Software,17,1287,21879,21897,APAC,Partner,Agent_1,Closed
D-300037,CL-3443,2024-02-11,SKU-201,POS Terminal,Hardware,14,193,2702,2745,EU,Partner,Agent_10,Lost
D-300038,CL-2331,2024-03-13,SKU-102,Analytics Suite,Software,14,1426,19964,19943,EU,Web,Agent_11,Closed
D-300039,CL-2394,2023-12-08,SKU-102,Analytics Suite,Software,19,1553,29507,29527,APAC,Web,Agent_2,Lost
D-300040,CL-3701,2024-06-24,SKU-102,Analytics Suite,Software,4,368,1472,1488,NA,Web,Agent_8,Closed
D-300041,CL-3851,2024-01-27,SKU-102,Analytics Suite,Software,8,1609,12872,12853,APAC,ColdCall,Agent_11,Lost
D-300042,CL-3376,2023-10-31,SKU-201,POS Terminal,Hardware,4,1069,4276,4284,APAC,Partner,Agent_10,Lost
