order_id,opportunity_id,customer_id,order_date,lead_date,close_date,first_purchase_date,revenue,units,product_id,product_name,category,salesperson,region,country,city,stage,channel,is_returning,aov,sales_cycle_days
O-100000,OPP-200000,C-4567,2024-02-28,2024-02-18,2024-03-16,2024-02-18,15453,17,103,Sales Booster,Software,Salesperson_5,North America,Germany,City_9,Won,Inbound,True,909.0,27
O-100001,OPP-200001,C-3747,2023-08-16,2023-08-09,2023-08-19,2023-08-09,4764,12,202,Receipt Printer,Hardware,Salesperson_7,Europe,Germany,City_10,Won,Inbound,True,397.0,10
O-100002,OPP-200002,C-1227,2024-01-03,2023-12-07,2024-01-07,2024-01-03,26064,18,201,POS Terminal,Hardware,Salesperson_11,North America,Pakistan,City_18,Won,Inbound,False,1448.0,31
O-100003,OPP-200003,C-1547,2024-12-25,2024-12-19,2025-01-14,2024-12-19,35226,19,201,POS Terminal,Hardware,Salesperson_5,Asia,Germany,City_3,Won,Partner,True,1854.0,26
O-100004,OPP-200004,C-3023,2023-01-01,2022-12-02,2023-01-11,2022-12-02,4596,4,202,Receipt Printer,Hardware,Salesperson_2,Asia,UK,City_2,Won,Partner,True,1149.0,40
O-100005,OPP-200005,C-3973,2023-06-21,2023-06-02,2023-07-11,2023-06-02,16659,9,202,Receipt Printer,Hardware,Salesperson_7,Asia,UK,City_7,Won,Inbound,True,1851.0,39
O-100006,OPP-200006,C-2237,2024-10-29,2024-10-20,2024-11-08,2024-10-20,15750,14,101,CRM Pro,Software,Salesperson_11,Asia,Pakistan,City_16,Won,Outbound,False,1125.0,19
O-100007,OPP-200007,C-2924,2023-02-19,2023-02-13,2023-02-25,2023-02-13,3740,5,201,POS Terminal,Hardware,Salesperson_12,Europe,Pakistan,City_19,Won,Outbound,False,748.0,12
O-100008,OPP-200008,C-1681,2024-05-12,2024-04-16,2024-05-13,2024-05-12,3100,10,201,POS Terminal,Hardware,Salesperson_6,North America,USA,City_17,Won,Partner,True,310.0,27
O-100009,OPP-200009,C-3197,2023-11-29,2023-11-05,2023-12-19,2023-11-05,16044,12,102,Analytics Suite,Software,Salesperson_1,Asia,Pakistan,City_8,Won,Inbound,True,1337.0,44
O-100010,OPP-200010,C-2651,2024-04-11,2024-03-26,2024-04-25,2024-03-26,8200,10,201,POS Terminal,Hardware,Salesperson_14,Europe,USA,City_17,Won,Outbound,False,820.0,30
O-100011,OPP-200011,C-4496,2024-08-03,2024-07-12,2024-08-23,2024-07-12,24752,14,202,Receipt Printer,Hardware,Salesperson_7,Europe,UK,City_2,Won,Outbound,False,1768.0,42
O-100012,OPP-200012,C-3447,2023-09-04,2023-08-18,2023-09-05,2023-08-18,11928,7,202,Receipt Printer,Hardware,Salesperson_1,North America,Pakistan,City_1,Won,Partner,False,1704.0,18
O-100013,OPP-200013,C-4059,2023-04-26,2023-04-03,2023-05-02,2023-04-26,999,9,201,POS Terminal,Hardware,Salesperson_10,Asia,UK,City_10,Won,Inbound,False,111.0,29
O-100014,OPP-200014,C-1973,2024-08-11,2024-07-14,2024-08-13,2024-07-14,15876,14,202,Receipt Printer,Hardware,Salesperson_6,Asia,USA,City_5,Won,Outbound,True,1134.0,30
O-100015,OPP-200015,C-1629,2024-10-07,2024-09-11,2024-10-22,2024-09-11,1441,1,202,Receipt Printer,Hardware,Salesperson_1,Asia,Pakistan,City_3,Won,Outbound,True,1441.0,41
O-100016,OPP-200016,C-4033,2023-07-24,2023-07-13,2023-07-26,2023-07-24,8298,18,202,Receipt Printer,Hardware,Salesperson_2,Europe,Germany,City_19,Won,Inbound,True,461.0,13
O-100017,OPP-200017,C-3010,2024-05-07,2024-05-01,2024-05-14,2024-05-01,4947,3,201,POS Terminal,Hardware,Salesperson_15,North America,India,City_3,Won,Inbound,True,1649.0,13
O-100018,OPP-200018,C-4226,2024-08-01,2024-07-24,2024-08-10,2024-07-24,1509,3,201,POS Terminal,Hardware,Salesperson_6,North America,India,City_1,Won,Inbound,True,503.0,17
O-100019,OPP-200019,C-3289,2023-06-22,2023-06-13,2023-07-02,2023-06-13,15150,15,201,POS Terminal,Hardware,Salesperson_14,Asia,Pakistan,City_8,Won,Outbound,False,1010.0,19
O-100020,OPP-200020,C-2968,2023-02-03,2023-01-05,2023-02-21,2023-01-05,22560,15,202,Receipt Printer,Hardware,Salesperson_13,North America,India,City_10,Won,Partner,True,1504.0,47
O-100021,OPP-200021,C-3415,2023-01-29,2023-01-15,2023-02-03,2023-01-15,31456,16,101,CRM Pro,Software,Salesperson_2,Europe,Pakistan,City_17,Won,Outbound,True,1966.0,19
O-100022,OPP-200022,C-2533,2024-07-29,2024-07-09,2024-08-12,2024-07-09,4540,20,101,CRM Pro,Software,Salesperson_5,Asia,USA,City_9,Won,Outbound,False,227.0,34
