order_id,order_date,customer_id,product_name,category,region,channel,units,revenue,stage
O-900000,2024-07-17,C-2680,CRM Pro,Software,NA,inbound,6,6276,Won
O-900001,2024-07-26,C-6409,CRM-Pro,Hardware,asia,inbound,12,7224,Won
O-900002,2023-02-23,C-2307,AnalyticsSuite,software,North America,OUTBOUND,10,8290,Won
O-900003,2024-02-13,C-2380,CRM-Pro,hardware,asia,In-bound,15,20370,Won
O-900004,2024-08-30,C-6288,AnalyticsSuite,Hardware,Europe,OUTBOUND,4,1360,Won
O-900005,2024-12-14,C-5785,Analytics Suite,Software,Asia,OUTBOUND,14,12936,Won
O-900006,2023-11-19,C-5337,POS Terminal,software,Asia,OUTBOUND,4,7580,Won
O-900007,2024-12-03,C-2307,AnalyticsSuite,software,Europe,out bound,7,2674,Won
O-900008,2023-01-06,C-3811,CRM Pro,Soft ware,APAC,inbound,12,9864,Won
O-900009,2023-11-05,C-1119,POS Terminal,Hard ware,N. America,Partner,2,1596,Won
O-900010,2023-03-11,C-2907,CRM Pro,Hard ware,Europe,out bound,1,491,Won
O-900011,2024-08-12,C-6628,CRM-Pro,Hard ware,europe,Outbound,13,4654,Won
O-900012,2024-11-10,C-1376,CRM Pro,Soft ware,Europe,partner,8,10744,Won
O-900013,2024-08-06,C-1824,AnalyticsSuite,Soft ware,europe,OUTBOUND,2,2036,Won
O-900014,2024-08-31,C-4532,AnalyticsSuite,hardware,europe,inbound,2,644,Won
O-900015,2024-06-10,C-5101,CRM-Pro,software,Europe,OUTBOUND,3,2268,Won
O-900016,2023-06-14,C-2806,Analytics Suite,software,Asia,out bound,10,11310,Won
O-900017,2023-09-28,C-5208,POS-Terminal,Hardware,europe,partner,3,3966,Won
O-900018,2024-01-03,C-5436,AnalyticsSuite,software,North America,Partner,14,26712,Won
O-900019,2023-06-27,C-4133,CRM Pro,Software,europe,inbound,6,2712,Won
O-900020,2023-09-30,C-6361,Analytics Suite,Soft ware,Asia,In-bound,12,18924,Won
O-900021,2023-01-24,C-3630,CRM Pro,Hard ware,Europe,OUTBOUND,8,3056,Won
O-900022,2024-06-05,C-6788,Analytics Suite,Hardware,APAC,out bound,9,7578,Won
O-900023,2023-01-20,C-3644,POS-Terminal,Hard ware,North-America,Inbound,3,3261,Won
O-900024,2023-05-07,C-1307,Analytics Suite,hardware,North-America,Inbound,8,4752,Won
O-900025,2024-05-01,C-5911,CRM Pro,hardware,NA,In-bound,9,17541,Won
O-900026,2023-06-06,C-4005,CRM-Pro,Software,EU,inbound,1,1972,Won
O-900027,2024-08-28,C-3854,Analytics Suite,Hardware,North-America,Partner,15,7995,Won
