order_id,order_date,lead_date,close_date,product,region,revenue,units,stage
O-400000,28/11/2023,Nov 2023,11-29-2023,Sales Booster,Europe,14726,13,Lost
O-400001,2024-07,2024/07/05,07-27-2024,Analytics Suite,Europe,8038,5,Won
O-400002,12-28-2023,15/12/2023,2024-01,Sales Booster,Asia,17907,5,Lost
O-400003,2024-11-29,Nov 2024,2024/12/13,Analytics Suite,Asia,17892,2,Won
O-400004,2023-04,Mar 2023,2023/04/17,CRM Pro,Asia,10839,3,Lost
O-400005,2024/12/12,11-17-2024,12-18-2024,Analytics Suite,Asia,10502,9,Lost
O-400006,09/11/2023,10-10-2023,Nov 2023,CRM Pro,Europe,13729,11,Won
O-400007,2023-03-11,2023/02/09,2023-03,CRM Pro,Europe,19787,6,Won
O-400008,01-08-2023,2022-12,2023-01,Sales Booster,Europe,19489,9,Won
O-400009,2024/11/11,Oct 2024,12-01-2024,Sales Booster,Europe,9809,7,Qualified
O-400010,May 2024,01/05/2024,06-13-2024,Analytics Suite,Europe,696,1,Won
O-400011,12-18-2024,21/11/2024,2024-12,Sales Booster,Asia,18867,11,Lost
O-400012,2023/11/27,11-02-2023,2023-12,Sales Booster,North America,14730,4,Lost
O-400013,06-01-2024,May 2024,14/06/2024,CRM Pro,North America,19639,6,Won
O-400014,2023-07-01,Jun 2023,2023-07,CRM Pro,North America,17626,1,Qualified
O-400015,Nov 2023,05/11/2023,Nov 2023,Sales Booster,North America,17478,13,Lost
O-400016,01-27-2023,2023-01,05/02/2023,Sales Booster,Asia,6648,14,Lost
O-400017,20/06/2024,Jun 2024,2024-07,Sales Booster,Asia,8451,3,Lost
O-400018,Feb 2023,Jan 2023,2023/02/26,Sales Booster,Europe,5477,12,Won
O-400019,2024-07,13/07/2024,08-04-2024,Sales Booster,Europe,19020,8,Qualified
O-400020,Jan 2023,Jan 2023,2023-02,Analytics Suite,Asia,11990,3,Lost
O-400021,2024-03-06,2024-02-06,2024-03,Sales Booster,Europe,8714,6,Lost
O-400022,07-10-2024,29/06/2024,28/07/2024,CRM Pro,Asia,2867,13,Won
O-400023,05-17-2023,2023/04/19,2023/06/04,CRM Pro,Europe,10889,15,Qualified
O-400024,04-14-2023,2023-03,2023/04/23,Sales Booster,North America,5429,3,Won
O-400025,2024-05-08,May 2024,2024-05,CRM Pro,Asia,14740,14,Qualified
O-400026,26/06/2023,2023-06,06-28-2023,CRM Pro,North America,4146,13,Lost
O-400027,2023-03-20,08/03/2023,Mar 2023,Analytics Suite,Europe,19103,7,Won
O-400028,19/08/2023,2023-08-03,Sep 2023,CRM Pro,North America,17883,2,Lost
O-400029,14/05/2023,2023-05-05,2023-05,CRM Pro,Asia,14783,12,Lost
O-400030,06-26-2023,Jun 2023,02/07/2023,Analytics Suite,Asia,6793,8,Qualified
O-400031,2023-08-09,2023/08/02,08-19-2023,Analytics Suite,North America,16076,15,Qualified
O-400032,Jun 2023,20/05/2023,2023/06/08,Analytics Suite,North America,16153,13,Won
O-400033,08-14-2023,2023-08-05,2023/08/22,CRM Pro,Europe,1597,9,Qualified
O-400034,2024-07,2024/07/18,11/08/2024,Analytics Suite,North America,657,8,Lost
O-400035,03-22-2024,2024/03/04,04-09-2024,Analytics Suite,Asia,6336,14,Qualified
O-400036,32/13/2024,2024-11,2024/12/21,Analytics Suite,North America,9186,4,Qualified
O-400037,Feb 2023,2023/02/03,Feb 2023,Sales Booster,Asia,15752,14,Lost
O-400038,Oct 2024,2024-09-09,2024/10/22,CRM Pro,Europe,4051,4,Lost
O-400039,2023-02-23,Feb 2023,03-11-2023,Sales Booster,Europe,761,3,Won
O-400040,2024-12-31,2024-12-23,01-01-2025,Sales Booster,North America,10232,11,Won
