order_id,order_date,customer_id,product_id,product_name,category,units,revenue,region,salesperson,stage
O-700000,2023-12-12,C-1321,201,POS Terminal,Hardware,7,537453,Europe,Salesperson_8,Won
O-700001,2024-03-07,C-5848,103,Sales Booster,Software,3,1920,Europe,Salesperson_10,Won
O-700002,2023-06-18,C-2030,101,CRM Pro,Software,12,9804,Europe,Salesperson_6,Won
O-700003,2024-07-11,C-4040,201,POS Terminal,Hardware,9,10872,Asia,Salesperson_7,Won
O-700004,2024-07-31,C-2500,201,POS Terminal,Hardware,15,8490,Asia,Salesperson_1,Won
O-700005,2024-04-21,C-5864,103,Sales Booster,Software,9,6642,North America,Salesperson_7,Won
O-700006,2023-06-24,C-1507,103,Sales Booster,Software,10,0,Europe,Salesperson_9,Won
O-700007,2023-05-04,C-4600,103,Sales Booster,Software,14,158256,Europe,Salesperson_4,Won
O-700008,2024-03-16,C-2503,103,Sales Booster,Software,8,4744,North America,Salesperson_10,Won
O-700009,2023-01-09,C-2156,201,POS Terminal,Hardware,10,7370,Asia,Salesperson_4,Won
O-700010,2024-08-30,C-1265,101,CRM Pro,Software,12,11100,Europe,Salesperson_10,Won
O-700011,2023-06-21,C-4933,102,Analytics Suite,Software,3,1248,North America,Salesperson_10,Won
O-700012,2024-05-28,C-5617,102,Analytics Suite,Software,5,2950,North America,Salesperson_11,Won
O-700013,2023-12-07,C-1745,101,CRM Pro,Software,10,6720,Europe,Salesperson_9,Won
O-700014,2024-09-10,C-4154,201,POS Terminal,Hardware,13,6331,Europe,Salesperson_3,Won
O-700015,2023-12-20,C-2452,103,Sales Booster,Software,12,117120,Asia,Salesperson_6,Won
O-700016,2023-06-02,C-4570,103,Sales Booster,Software,8,-10776,North America,Salesperson_4,Won
O-700017,2024-06-09,C-1746,201,POS Terminal,Hardware,14,12712,Europe,Salesperson_9,Won
O-700018,2023-07-03,C-5958,101,CRM Pro,Software,5,2165,Asia,Salesperson_2,Won
O-700019,2024-12-02,C-5475,103,Sales Booster,Software,3,750,North America,Salesperson_11,Won
O-700020,2024-08-03,C-2972,201,POS Terminal,Hardware,1,1023,Asia,Salesperson_9,Won
O-700021,2023-07-20,C-3634,201,POS Terminal,Hardware,15,9615,Europe,Salesperson_3,Won
O-700022,2023-11-27,C-5190,102,Analytics Suite,Software,7,4830,North America,Salesperson_9,Won
O-700023,2023-01-26,C-3390,201,POS Terminal,Hardware,5,1935,Asia,Salesperson_2,Won
O-700024,2024-05-19,C-3766,103,Sales Booster,Software,9,-5490,Europe,Salesperson_10,Won
O-700025,2024-10-25,C-4007,201,POS Terminal,Hardware,5,2775,North America,Salesperson_6,Won
O-700026,2024-09-18,C-2405,102,Analytics Suite,Software,12,5472,Asia,Salesperson_3,Won
O-700027,2024-05-19,C-4236,101,CRM Pro,Software,10,8630,Europe,Salesperson_4,Won
O-700028,2023-05-30,C-4345,102,Analytics Suite,Software,3,2232,Europe,Salesperson_8,Won
O-700029,2023-01-26,C-1308,201,POS Terminal,Hardware,15,19260,Asia,Salesperson_4,Won
O-700030,2023-09-25,C-3531,103,Sales Booster,Software,4,1028,North America,Salesperson_5,Won
O-700031,2023-01-04,C-2775,201,POS Terminal,Hardware,9,5085,Europe,Salesperson_6,Won
O-700032,2023-10-11,C-4860,101,CRM Pro,Software,11,12078,North America,Salesperson_8,Won
O-700033,2023-12-23,C-3748,101,CRM Pro,Software,6,-2904,North America,Salesperson_7,Won
O-700034,2023-07-21,C-3776,103,Sales Booster,Software,4,1872,Europe,Salesperson_8,Won
O-700035,2023-12-15,C-5710,101,CRM Pro,Software,3,3879,North America,Salesperson_4,Won
O-700036,2024-06-06,C-1642,101,CRM Pro,Software,4,2328,Europe,Salesperson_6,Won
O-700037,2023-08-12,C-2373,101,CRM Pro,Software,7,0,North America,Salesperson_2,Won
O-700038,2023-07-12,C-1035,101,CRM Pro,Software,12,14064,Europe,Salesperson_6,Won
O-700039,2024-04-10,C-2348,201,POS Terminal,Hardware,14,13454,North America,Salesperson_8,Won
O-700040,2023-02-07,C-2848,201,POS Terminal,Hardware,4,4524,North America,Salesperson_9,Won
O-700041,2024-10-08,C-4919,103,Sales Booster,Software,5,3135,Europe,Salesperson_6,Won
O-700042,2023-03-27,C-5410,201,POS Terminal,Hardware,5,2100,Europe,Salesperson_10,Won
O-700043,2024-06-26,C-4489,101,CRM Pro,Software,1,628,Asia,Salesperson_8,Won
O-700044,2023-10-14,C-4420,101,CRM Pro,Software,9,13356,North America,Salesperson_3,Won
O-700045,2023-07-18,C-1712,101,CRM Pro,Software,5,4835,Asia,Salesperson_8,Won
O-700046,2024-01-28,C-4209,103,Sales Booster,Software,15,11130,North America,Salesperson_1,Won
O-700047,2024-05-10,C-1565,102,Analytics Suite,Software,8,10064,North America,Salesperson_8,Won
O-700048,2023-07-31,C-4635,102,Analytics Suite,Software,11,12782,Asia,Salesperson_2,Won
O-700049,2024-04-27,C-2200,201,POS Terminal,Hardware,14,5838,Asia,Salesperson_11,Won
O-700050,2024-03-19,C-4432,201,POS Terminal,Hardware,12,3780,Europe,Salesperson_7,Won
O-700051,2024-08-24,C-5667,201,POS Terminal,Hardware,7,7434,Europe,Salesperson_3,Won
O-700052,2024-09-25,C-4231,101,CRM Pro,Software,10,0,Europe,Salesperson_1,Won
O-700053,2024-05-14,C-4287,102,Analytics Suite,Software,7,3563,Europe,Salesperson_7,Won
O-700054,2024-07-29,C-1483,102,Analytics Suite,Software,9,5931,Asia,Salesperson_2,Won
O-700055,2024-11-22,C-3021,102,Analytics Suite,Software,15,10365,North America,Salesperson_5,Won
O-700056,2023-03-13,C-4497,102,Analytics Suite,Software,2,1924,North America,Salesperson_4,Won
O-700057,2024-02-10,C-3000,101,CRM Pro,Software,3,0,Asia,Salesperson_11,Won
O-700058,2024-02-22,C-5638,103,Sales Booster,Software,3,-2883,Asia,Salesperson_4,Won
O-700059,2023-12-22,C-1720,201,POS Terminal,Hardware,8,8496,North America,Salesperson_2,Won
O-700060,2024-01-20,C-2332,103,Sales Booster,Software,13,13520,Europe,Salesperson_10,Won
O-700061,2024-09-10,C-1023,201,POS Terminal,Hardware,13,861991,Asia,Salesperson_1,Won
O-700062,2024-11-09,C-3028,201,POS Terminal,Hardware,4,-4868,North America,Salesperson_9,Won
O-700063,2023-05-18,C-2105,201,POS Terminal,Hardware,5,1445,North America,Salesperson_3,Won
O-700064,2024-01-14,C-1538,101,CRM Pro,Software,2,2296,Asia,Salesperson_8,Won
O-700065,2024-02-07,C-4480,102,Analytics Suite,Software,5,2275,North America,Salesperson_7,Won
O-700066,2024-05-31,C-2106,101,CRM Pro,Software,6,8538,Europe,Salesperson_8,Won
O-700067,2024-08-22,C-5472,102,Analytics Suite,Software,8,5968,Asia,Salesperson_11,Won
O-700068,2023-09-28,C-3445,101,CRM Pro,Software,2,530,North America,Salesperson_9,Won
O-700069,2024-09-10,C-2496,102,Analytics Suite,Software,1,19136,Europe,Salesperson_7,Won
O-700070,2024-01-11,C-3017,201,POS Terminal,Hardware,5,5675,Europe,Salesperson_8,Won
O-700071,2023-09-04,C-1613,101,CRM Pro,Software,1,873,Asia,Salesperson_1,Won
O-700072,2023-11-29,C-4518,102,Analytics Suite,Software,7,-5551,Europe,Salesperson_9,Won
O-700073,2024-10-14,C-4745,201,POS Terminal,Hardware,15,20895,Asia,Salesperson_4,Won
O-700074,2023-08-17,C-5058,103,Sales Booster,Software,10,0,North America,Salesperson_11,Won
O-700075,2024-01-21,C-3293,102,Analytics Suite,Software,9,4131,North America,Salesperson_6,Won
O-700076,2024-02-05,C-4332,103,Sales Booster,Software,7,0,North America,Salesperson_1,Won
O-700077,2023-06-12,C-4015,201,POS Terminal,Hardware,14,4172,Asia,Salesperson_10,Won
O-700078,2023-07-11,C-5343,102,Analytics Suite,Software,7,9051,Europe,Salesperson_8,Won
O-700079,2024-09-03,C-3666,101,CRM Pro,Software,7,7245,North America,Salesperson_10,Won
O-700080,2023-07-20,C-2984,201,POS Terminal,Hardware,9,3294,North America,Salesperson_3,Won
O-700081,2024-07-18,C-3793,101,CRM Pro,Software,13,6162,Asia,Salesperson_8,Won
O-700082,2023-01-02,C-3202,101,CRM Pro,Software,1,1447,North America,Salesperson_9,Won
O-700083,2024-05-17,C-1652,201,POS Terminal,Hardware,14,4970,North America,Salesperson_11,Won
O-700084,2024-06-25,C-1070,101,CRM Pro,Software,10,4790,Asia,Salesperson_2,Won
O-700085,2023-06-16,C-5379,101,CRM Pro,Software,12,2520,North America,Salesperson_3,Won
O-700086,2023-01-17,C-3062,102,Analytics Suite,Software,1,0,Europe,Salesperson_3,Won
O-700087,2023-03-25,C-4866,102,Analytics Suite,Software,13,4719,Asia,Salesperson_6,Won
O-700088,2024-09-03,C-1581,102,Analytics Suite,Software,4,123200,Europe,Salesperson_6,Won
O-700089,2023-11-12,C-5255,101,CRM Pro,Software,11,13068,Europe,Salesperson_3,Won
O-700090,2024-04-29,C-1466,103,Sales Booster,Software,6,3180,Asia,Salesperson_3,Won
O-700091,2023-06-12,C-4753,101,CRM Pro,Software,12,16236,Europe,Salesperson_10,Won
O-700092,2023-11-19,C-2401,102,Analytics Suite,Software,11,6479,North America,Salesperson_3,Won
O-700093,2024-05-07,C-1871,103,Sales Booster,Software,1,632,North America,Salesperson_4,Won
O-700094,2024-03-25,C-3810,201,POS Terminal,Hardware,9,7893,North America,Salesperson_3,Won
O-700095,2023-07-25,C-4892,101,CRM Pro,Software,2,2132,Asia,Salesperson_5,Won
O-700096,2024-05-05,C-4346,103,Sales Booster,Software,10,12850,Europe,Salesperson_4,Won
O-700097,2023-06-22,C-2825,102,Analytics Suite,Software,10,6030,Europe,Salesperson_1,Won
O-700098,2024-02-07,C-3923,201,POS Terminal,Hardware,15,12210,North America,Salesperson_11,Won
O-700099,2023-03-02,C-5743,101,CRM Pro,Software,14,19390,Asia,Salesperson_5,Won
O-700100,2023-03-03,C-3148,102,Analytics Suite,Software,14,6440,Asia,Salesperson_8,Won
O-700101,2024-10-04,C-2055,103,Sales Booster,Software,11,-6941,Asia,Salesperson_6,Won
O-700102,2023-04-09,C-5425,102,Analytics Suite,Software,8,6080,North America,Salesperson_6,Won
O-700103,2023-04-30,C-1185,103,Sales Booster,Software,1,466,Europe,Salesperson_9,Won
O-700104,2023-07-28,C-2386,102,Analytics Suite,Software,9,9675,North America,Salesperson_10,Won
O-700105,2024-08-10,C-1876,102,Analytics Suite,Software,2,-852,North America,Salesperson_3,Won
O-700106,2024-12-12,C-1573,201,POS Terminal,Hardware,11,15565,Europe,Salesperson_2,Won
O-700107,2023-08-18,C-5621,102,Analytics Suite,Software,3,4476,Europe,Salesperson_1,Won
