order_id,order_date,customer_id,product_id,product_name,category,units,revenue,salesperson,region,source_system
O-500000,2024-07-27,C-3761,101,CRM Pro,Software,20,17640,Salesperson_6,Europe,CRM
O-500001,2024-04-03,C-1962,201,POS Terminal,Hardware,14,9590,Salesperson_1,Asia,CRM
O-500002,2023-11-24,C-2689,102,Analytics Suite,Software,8,9336,Salesperson_4,Asia,CRM
O-500003,2024-07-21,C-1035,102,Analytics Suite,Software,12,6168,Salesperson_10,North America,CRM
O-500004,2024-10-05,C-2964,101,CRM Pro,Software,6,7566,Salesperson_9,Europe,CRM
O-500005,2023-12-18,C-2808,201,POS Terminal,Hardware,8,8840,Salesperson_2,North America,CRM
O-500006,2023-09-23,C-2238,201,POS Terminal,Hardware,9,5292,Salesperson_1,Europe,CRM
O-500007,2023-05-09,C-2413,101,CRM Pro,Software,8,9432,Salesperson_4,Asia,CRM
O-500008,2023-02-03,C-1602,101,CRM Pro,Software,11,5236,Salesperson_7,Europe,CRM
O-500009,2023-06-06,C-1102,102,Analytics Suite,Software,5,3095,Salesperson_5,Europe,CRM
O-500010,2024-07-29,C-2130,201,POS Terminal,Hardware,18,25920,Salesperson_9,North America,CRM
O-500011,2023-10-17,C-3547,101,CRM Pro,Software,11,9988,Salesperson_6,North America,CRM
O-500012,2023-04-29,C-1913,102,Analytics Suite,Software,16,6384,Salesperson_5,North America,CRM
O-500013,2024-04-28,C-1789,201,POS Terminal,Hardware,17,24922,Salesperson_11,North America,CRM
O-500014,2024-04-02,C-2510,201,POS Terminal,Hardware,12,8532,Salesperson_9,North America,CRM
O-500015,2024-10-30,C-2204,102,Analytics Suite,Software,13,10088,Salesperson_2,North America,CRM
O-500016,2024-10-19,C-2323,102,Analytics Suite,Software,1,277,Salesperson_2,Asia,CRM
O-500017,2024-04-04,C-3625,101,CRM Pro,Software,13,3224,Salesperson_3,Europe,CRM
O-500018,2024-09-07,C-3412,102,Analytics Suite,Software,14,7518,Salesperson_2,Asia,CRM
O-500019,2024-10-16,C-2134,201,POS Terminal,Hardware,12,8088,Salesperson_11,Asia,CRM
O-500020,2024-05-20,C-3107,201,POS Terminal,Hardware,2,2040,Salesperson_2,Asia,CRM
O-500021,2023-04-18,C-3236,102,Analytics Suite,Software,17,16558,Salesperson_6,North America,CRM
O-500022,2024-11-13,C-1270,201,POS Terminal,Hardware,15,10935,Salesperson_1,Europe,CRM
O-500023,2024-03-23,C-3370,102,Analytics Suite,Software,10,10930,Salesperson_10,Asia,CRM
O-500024,2023-06-17,C-3525,201,POS Terminal,Hardware,4,1572,Salesperson_6,Europe,CRM
O-500025,2023-07-20,C-3422,201,POS Terminal,Hardware,16,12224,Salesperson_4,Europe,CRM
O-500026,2023-03-17,C-1018,201,POS Terminal,Hardware,6,7488,Salesperson_6,North America,CRM
O-500027,2023-10-30,C-1967,201,POS Terminal,Hardware,8,4792,Salesperson_4,North America,CRM
O-500028,2024-11-08,C-2202,201,POS Terminal,Hardware,17,11186,Salesperson_1,North America,CRM
O-500029,2024-12-10,C-3736,101,CRM Pro,Software,14,12180,Salesperson_1,Asia,CRM
O-500030,2024-02-11,C-1770,102,Analytics Suite,Software,16,11472,Salesperson_7,North America,CRM
O-500031,2023-12-22,C-2404,102,Analytics Suite,Software,14,5544,Salesperson_11,Europe,CRM
O-500032,2024-01-14,C-3554,201,POS Terminal,Hardware,7,5747,Salesperson_1,North America,CRM
O-500033,2024-08-02,C-3882,102,Analytics Suite,Software,9,3780,Salesperson_9,Europe,CRM
O-500034,2024-01-28,C-2483,101,CRM Pro,Software,19,14269,Salesperson_7,Asia,CRM
O-500035,2024-12-26,C-2451,201,POS Terminal,Hardware,4,2980,Salesperson_1,Asia,CRM
O-500036,2024-07-30,C-1994,102,Analytics Suite,Software,16,14992,Salesperson_9,North America,CRM
O-500037,2024-10-18,C-1868,201,POS Terminal,Hardware,17,16303,Salesperson_5,Europe,CRM
O-500038,2024-12-11,C-3591,101,CRM Pro,Software,2,2972,Salesperson_7,North America,CRM
O-500039,2023-10-10,C-3472,201,POS Terminal,Hardware,1,861,Salesperson_7,Asia,CRM
O-500040,2024-09-20,C-3179,201,POS Terminal,Hardware,11,15224,Salesperson_7,Europe,CRM
O-500041,2023-03-16,C-3935,201,POS Terminal,Hardware,11,12353,Salesperson_9,North America,CRM
O-500042,2023-10-09,C-1596,201,POS Terminal,Hardware,15,3630,Salesperson_4,North America,CRM
