order_id,opportunity_id,customer_id,lead_date,close_date,order_date,revenue,units,product_id,product_name,category,salesperson,region,channel,stage,is_returning
O-100000,OPP-200000,C-3816,2024-06-28,2024-07-19,2024-07-19,5956.0,4.0,102,Analytics Suite,Software,Salesperson_1,Asia,Outbound,Won,True
O-100001,OPP-200001,C-1898,2024-07-05,,,14190.0,11.0,102,Analytics Suite,Software,Salesperson_9,Europe,Partner,Lead,True
O-100002,OPP-200002,C-4827,2024-07-31,2024-08-08,2024-08-08,,8.0,103,Sales Booster,Software,Salesperson_4,North America,Outbound,Lead,False
,OPP-200003,C-1346,2023-09-05,2023-09-10,2023-09-10,,10.0,102,Analytics Suite,Software,Salesperson_8,Europe,,Lost,True
O-100004,OPP-200004,C-4338,2024-02-13,2024-03-08,2024-03-08,5520.0,8.0,201,POS Terminal,Hardware,Salesperson_7,Asia,Partner,Won,True
,OPP-200005,C-4823,2024-08-25,2024-09-17,2024-09-17,5392.0,4.0,102,Analytics Suite,Software,Salesperson_1,North America,Partner,Qualified,
O-100006,OPP-200006,C-4697,2024-09-18,,,633.0,,102,Analytics Suite,Software,Salesperson_1,Europe,Outbound,Qualified,False
O-100007,OPP-200007,C-3781,2024-08-05,2024-08-10,2024-08-10,14100.0,12.0,102,Analytics Suite,Software,Salesperson_6,Asia,Partner,Won,True
O-100008,OPP-200008,C-4243,2024-02-22,2024-03-16,2024-03-16,4820.0,10.0,201,POS Terminal,Hardware,Salesperson_6,Europe,Partner,Lost,False
O-100009,OPP-200009,C-2576,2023-12-13,,,2112.0,3.0,103,Sales Booster,Software,Salesperson_8,Europe,Inbound,Qualified,False
O-100010,OPP-200010,C-2763,2024-03-22,,,943.0,1.0,102,Analytics Suite,Software,Salesperson_6,North America,Partner,Won,False
O-100011,OPP-200011,C-2745,2023-10-01,,,6027.0,7.0,101,CRM Pro,Software,Salesperson_4,Asia,Outbound,Lost,True
O-100012,OPP-200012,C-1852,2023-02-24,2023-03-06,2023-03-06,102.0,1.0,103,Sales Booster,Software,Salesperson_1,Asia,Inbound,Won,
O-100013,OPP-200013,C-3340,2023-12-24,,,6752.0,8.0,103,Sales Booster,Software,Salesperson_8,Asia,Partner,Lead,True
O-100014,OPP-200014,C-2531,2024-12-26,2025-01-10,2025-01-10,1240.0,2.0,103,Sales Booster,Software,Salesperson_3,North America,Inbound,Won,False
O-100015,OPP-200015,C-1213,2023-10-17,2023-10-28,2023-10-28,632.0,1.0,201,POS Terminal,Hardware,,North America,Partner,Qualified,False
O-100016,OPP-200016,C-3023,2024-02-16,,,9720.0,10.0,102,Analytics Suite,Software,,North America,Inbound,Won,False
O-100017,OPP-200017,C-1396,2024-08-28,,,1184.0,1.0,102,Analytics Suite,Software,Salesperson_6,North America,Partner,Lead,False
O-100018,OPP-200018,C-4728,2024-12-22,2025-01-11,,3805.0,5.0,101,CRM Pro,Software,Salesperson_4,Asia,Inbound,Qualified,False
O-100019,OPP-200019,C-3651,2024-06-24,2024-07-03,2024-07-03,,3.0,103,Sales Booster,Software,,North America,Partner,Won,True
O-100020,OPP-200020,C-2692,2023-09-13,2023-09-24,2023-09-24,,9.0,101,CRM Pro,Software,Salesperson_7,Asia,,Lead,False
O-100021,OPP-200021,C-4437,2024-04-28,,,10680.0,,102,Analytics Suite,Software,Salesperson_6,Asia,,Lost,False
O-100022,OPP-200022,C-2139,2024-08-02,2024-08-11,2024-08-11,1395.0,5.0,102,Analytics Suite,Software,Salesperson_4,Asia,,Won,True
O-100023,OPP-200023,C-2991,2024-06-24,2024-07-13,2024-07-13,,7.0,101,CRM Pro,Software,,Asia,Partner,Won,False
O-100024,OPP-200024,C-3502,2023-08-24,2023-09-12,,3765.0,5.0,102,Analytics Suite,Software,Salesperson_10,North America,,Qualified,False
O-100025,OPP-200025,C-2038,2023-05-18,,,22230.0,15.0,103,Sales Booster,Software,Salesperson_3,Asia,Partner,Lost,False
O-100026,OPP-200026,C-2770,2024-11-16,2024-12-11,2024-12-11,6136.0,13.0,103,Sales Booster,Software,Salesperson_8,Europe,Partner,Won,
O-100027,OPP-200027,C-2732,2024-02-25,2024-03-03,2024-03-03,3196.0,4.0,101,CRM Pro,Software,Salesperson_10,North America,Outbound,Qualified,False
O-100028,OPP-200028,C-4768,2023-03-08,2023-04-02,,7830.0,9.0,102,Analytics Suite,Software,Salesperson_3,North America,Partner,Lead,
O-100029,OPP-200029,C-2721,2023-05-24,2023-06-09,2023-06-09,2340.0,3.0,201,POS Terminal,Hardware,Salesperson_9,Asia,Partner,Lost,False
O-100030,OPP-200030,C-2876,2023-10-06,,,3016.0,4.0,101,CRM Pro,Software,Salesperson_6,Asia,Outbound,Lost,True
O-100031,OPP-200031,C-2809,2024-12-11,2024-12-27,2024-12-27,8690.0,10.0,103,Sales Booster,Software,Salesperson_4,North America,,Lost,
O-100032,OPP-200032,C-2547,2023-08-01,2023-08-23,2023-08-23,,11.0,201,POS Terminal,Hardware,Salesperson_5,Asia,Inbound,Lead,True
O-100033,OPP-200033,C-2068,2023-02-19,2023-03-07,2023-03-07,2884.0,7.0,103,Sales Booster,Software,,Europe,,Qualified,False
O-100034,OPP-200034,C-3350,2024-11-27,2024-12-13,2024-12-13,,6.0,102,Analytics Suite,Software,Salesperson_4,Asia,Inbound,Qualified,False
O-100035,OPP-200035,C-1072,2023-09-08,2023-10-03,2023-10-03,8734.0,11.0,103,Sales Booster,Software,Salesperson_6,Asia,,Won,
O-100036,OPP-200036,C-1549,2024-07-05,,,,13.0,103,Sales Booster,Software,,Europe,Partner,Lost,False
O-100037,OPP-200037,C-4494,2024-05-01,2024-05-20,2024-05-20,,4.0,101,CRM Pro,Software,Salesperson_1,Asia,Outbound,Lost,True
O-100038,OPP-200038,C-2712,2024-02-01,2024-02-25,2024-02-25,,9.0,101,CRM Pro,Software,Salesperson_1,North America,Partner,Lost,True
O-100039,OPP-200039,C-4655,2024-12-26,,,3576.0,3.0,103,Sales Booster,Software,Salesperson_9,Europe,Outbound,Lost,True
O-100040,OPP-200040,C-2806,2023-10-22,2023-11-03,2023-11-03,,8.0,101,CRM Pro,Software,Salesperson_10,North America,,Lead,False
O-100041,OPP-200041,C-1452,2023-05-09,2023-05-20,2023-05-20,,7.0,103,Sales Booster,Software,Salesperson_7,North America,Outbound,Lost,False
O-100042,OPP-200042,C-2026,2023-08-21,2023-09-11,2023-09-11,,4.0,103,Sales Booster,Software,Salesperson_5,Asia,Inbound,Qualified,True
O-100043,OPP-200043,C-1044,2023-08-04,2023-08-24,2023-08-24,1939.0,7.0,102,Analytics Suite,Software,Salesperson_10,Asia,,Lead,True
O-100044,OPP-200044,C-2607,2024-04-07,2024-04-24,2024-04-24,,14.0,103,Sales Booster,Software,Salesperson_2,Europe,Inbound,Lost,False
O-100045,OPP-200045,C-2137,2023-05-05,,,,6.0,102,Analytics Suite,Software,Salesperson_3,North America,Partner,Qualified,False
O-100046,OPP-200046,C-4680,2024-07-07,2024-07-21,2024-07-21,11632.0,8.0,201,POS Terminal,Hardware,Salesperson_8,Asia,Outbound,Won,True
O-100047,OPP-200047,C-1872,2023-08-23,2023-08-30,2023-08-30,,10.0,201,POS Terminal,Hardware,Salesperson_10,Asia,Outbound,Lead,
O-100048,OPP-200048,C-3394,2023-11-30,2023-12-08,2023-12-08,3720.0,10.0,101,CRM Pro,Software,Salesperson_1,Asia,Inbound,Lost,False
O-100049,OPP-200049,C-4362,2024-01-21,2024-02-11,2024-02-11,,13.0,201,POS Terminal,Hardware,Salesperson_8,Europe,Inbound,Qualified,False
O-100050,OPP-200050,C-2905,2023-01-14,2023-01-27,2023-01-27,4024.0,4.0,102,Analytics Suite,Software,Salesperson_8,Asia,Inbound,Lost,False
O-100051,OPP-200051,C-2864,2024-12-10,2024-12-28,2024-12-28,9534.0,7.0,201,POS Terminal,Hardware,Salesperson_4,North America,,Lost,True
O-100052,OPP-200052,C-1049,2023-12-04,2023-12-15,2023-12-15,,13.0,201,POS Terminal,Hardware,,Europe,Inbound,Lead,True
O-100053,OPP-200053,C-1539,2023-07-17,2023-08-06,2023-08-06,17568.0,12.0,201,POS Terminal,Hardware,,North America,,Lost,True
O-100054,OPP-200054,C-4680,2023-07-28,,,16492.0,,101,CRM Pro,Software,Salesperson_1,North America,Inbound,Qualified,False
O-100055,OPP-200055,C-2394,2024-12-02,2024-12-24,2024-12-24,6985.0,11.0,102,Analytics Suite,Software,,North America,Outbound,Lost,False
O-100056,OPP-200056,C-2422,2023-10-23,2023-11-04,2023-11-04,868.0,4.0,103,Sales Booster,Software,,Europe,Outbound,Won,True
O-100057,OPP-200057,C-4927,2023-02-21,,,5850.0,5.0,103,Sales Booster,Software,Salesperson_10,Asia,,Lead,True
O-100058,OPP-200058,C-2531,2023-10-06,2023-10-16,,,9.0,201,POS Terminal,Hardware,Salesperson_7,Asia,Outbound,Won,False
O-100059,OPP-200059,C-2055,2024-11-28,2024-12-20,,8370.0,9.0,103,Sales Booster,Software,Salesperson_1,Europe,Inbound,Lead,False
O-100060,OPP-200060,C-1595,2024-10-03,,,9394.0,11.0,101,CRM Pro,Software,Salesperson_9,North America,,Won,False
O-100061,OPP-200061,C-3472,2023-10-25,2023-11-06,,15114.0,11.0,102,Analytics Suite,Software,Salesperson_8,Europe,Partner,Lead,False
O-100062,OPP-200062,C-2808,2024-03-15,2024-03-26,2024-03-26,1904.0,8.0,201,POS Terminal,Hardware,Salesperson_8,North America,Partner,Lost,
O-100063,OPP-200063,C-4271,2023-01-14,2023-01-21,2023-01-21,1616.0,2.0,201,POS Terminal,Hardware,Salesperson_3,North America,Partner,Qualified,True
,OPP-200064,C-4071,2024-05-12,2024-06-05,2024-06-05,22065.0,15.0,102,Analytics Suite,Software,,Asia,Partner,Lead,False
O-100065,OPP-200065,C-3782,2024-11-22,2024-12-17,2024-12-17,,7.0,102,Analytics Suite,Software,Salesperson_6,Europe,Outbound,Lead,True
O-100066,OPP-200066,C-3610,2024-02-21,2024-03-11,2024-03-11,,7.0,101,CRM Pro,Software,Salesperson_4,Europe,,Qualified,True
O-100067,OPP-200067,C-3456,2023-05-04,2023-05-13,2023-05-13,5780.0,10.0,103,Sales Booster,Software,Salesperson_5,Asia,Outbound,Lost,False
O-100068,OPP-200068,C-2875,2024-09-23,2024-10-14,2024-10-14,1291.0,,201,POS Terminal,Hardware,Salesperson_4,Asia,Inbound,Lost,False
O-100069,OPP-200069,C-2577,2024-12-01,2024-12-16,2024-12-16,,5.0,102,Analytics Suite,Software,Salesperson_6,Asia,Partner,Lost,False
O-100070,OPP-200070,C-1037,2023-05-18,,,4830.0,6.0,101,CRM Pro,Software,Salesperson_1,North America,Outbound,Qualified,True
O-100071,OPP-200071,C-3659,2023-03-27,,,,11.0,103,Sales Booster,Software,Salesperson_6,Asia,,Lost,True
O-100072,OPP-200072,C-3028,2024-10-14,2024-10-29,2024-10-29,5642.0,14.0,103,Sales Booster,Software,Salesperson_8,Asia,Inbound,Lead,False
O-100073,OPP-200073,C-3959,2024-06-02,,,7260.0,10.0,102,Analytics Suite,Software,Salesperson_2,North America,Outbound,Lost,False
O-100074,OPP-200074,C-4414,2023-07-28,2023-08-07,2023-08-07,7952.0,14.0,101,CRM Pro,Software,Salesperson_9,Europe,,Lead,False
O-100075,OPP-200075,C-2997,2024-04-20,,,1724.0,2.0,101,CRM Pro,Software,Salesperson_9,Europe,Outbound,Qualified,True
O-100076,OPP-200076,C-2554,2023-07-19,2023-08-03,2023-08-03,4524.0,,103,Sales Booster,Software,,Asia,Inbound,Lost,False
O-100077,OPP-200077,C-3939,2024-08-18,2024-09-03,2024-09-03,,4.0,201,POS Terminal,Hardware,Salesperson_3,Europe,Outbound,Qualified,False
O-100078,OPP-200078,C-2388,2024-06-18,2024-06-23,2024-06-23,2844.0,4.0,101,CRM Pro,Software,Salesperson_4,Europe,Partner,Qualified,True
O-100079,OPP-200079,C-1059,2023-03-23,2023-04-13,2023-04-13,6512.0,11.0,102,Analytics Suite,Software,Salesperson_9,Europe,Inbound,Lead,False
O-100080,OPP-200080,C-4156,2024-11-04,2024-11-13,2024-11-13,1152.0,4.0,201,POS Terminal,Hardware,,Asia,,Qualified,
O-100081,OPP-200081,C-3603,2024-09-04,2024-09-13,2024-09-13,,12.0,201,POS Terminal,Hardware,Salesperson_1,Asia,Partner,Lead,True
O-100082,OPP-200082,C-2074,2024-11-20,2024-11-25,2024-11-25,13039.0,13.0,103,Sales Booster,Software,Salesperson_2,Asia,Outbound,Qualified,
O-100083,OPP-200083,C-2950,2024-11-18,2024-11-30,2024-11-30,12411.0,9.0,103,Sales Booster,Software,Salesperson_3,North America,Partner,Qualified,False
O-100084,OPP-200084,C-2747,2023-11-16,2023-12-05,2023-12-05,,9.0,103,Sales Booster,Software,Salesperson_3,Asia,Outbound,Qualified,True
