order_id,order_date,product_id,product_name,category,units,revenue,currency,region,salesperson,stage
O-600000,2023-08-06,101,CRM Pro,Software,4,5168,GBP,UK,Salesperson_6,Won
O-600001,2024-07-05,201,POS Terminal,Hardware,18,3129840,PKR,Pakistan,Salesperson_7,Won
O-600002,2024-11-03,102,Analytics Suite,Software,14,14084,GBP,UK,Salesperson_6,Won
O-600003,2024-02-15,102,Analytics Suite,Software,17,9350,GBP,UK,Salesperson_8,Won
O-600004,2024-01-12,102,Analytics Suite,Software,3,1347360,PKR,Pakistan,Salesperson_6,Won
O-600005,2024-02-07,101,CRM Pro,Software,20,20900,EUR,Europe,Salesperson_2,Won
O-600006,2023-06-29,101,CRM Pro,Software,8,11400,EUR,Europe,Salesperson_1,Won
O-600007,2024-12-09,102,Analytics Suite,Software,20,32240,EUR,Europe,Salesperson_7,Won
O-600008,2023-10-19,201,POS Terminal,Hardware,14,24332,EUR,Europe,Salesperson_1,Won
O-600009,2023-09-10,102,Analytics Suite,Software,15,24210,USD,North America,Salesperson_4,Won
O-600010,2024-05-06,101,CRM Pro,Software,9,8181,GBP,UK,Salesperson_5,Won
O-600011,2023-12-08,102,Analytics Suite,Software,19,2734480,PKR,Pakistan,Salesperson_5,Won
O-600012,2024-01-08,101,CRM Pro,Software,1,1521,EUR,Europe,Salesperson_4,Won
O-600013,2024-12-17,201,POS Terminal,Hardware,2,541520,PKR,Pakistan,Salesperson_8,Won
O-600014,2023-03-09,201,POS Terminal,Hardware,4,4484,EUR,Europe,Salesperson_9,Won
O-600015,2024-10-27,201,POS Terminal,Hardware,4,7636,USD,North America,Salesperson_5,Won
O-600016,2024-01-20,101,CRM Pro,Software,14,5824,EUR,Europe,Salesperson_1,Won
O-600017,2023-07-20,101,CRM Pro,Software,11,10197,EUR,Europe,Salesperson_1,Won
O-600018,2023-05-21,102,Analytics Suite,Software,13,3887520,PKR,Pakistan,Salesperson_4,Won
O-600019,2024-04-06,201,POS Terminal,Hardware,8,657600,JPY,Japan,Salesperson_5,Won
O-600020,2023-10-02,102,Analytics Suite,Software,1,966,EUR,Europe,Salesperson_4,Won
O-600021,2024-10-09,102,Analytics Suite,Software,9,706050,JPY,Japan,Salesperson_6,Won
O-600022,2023-12-24,102,Analytics Suite,Software,13,19500,GBP,UK,Salesperson_5,Won
O-600023,2023-09-10,101,CRM Pro,Software,2,361500,JPY,Japan,Salesperson_9,Won
O-600024,2024-03-19,102,Analytics Suite,Software,19,2488050,JPY,Japan,Salesperson_8,Won
O-600025,2024-09-14,102,Analytics Suite,Software,4,2504,EUR,Europe,Salesperson_3,Won
O-600026,2024-10-02,201,POS Terminal,Hardware,16,3456,EUR,Europe,Salesperson_3,Won
O-600027,2023-10-27,101,CRM Pro,Software,1,492,GBP,UK,Salesperson_4,Won
O-600028,2023-11-24,102,Analytics Suite,Software,20,10100,USD,North America,Salesperson_8,Won
O-600029,2024-09-24,201,POS Terminal,Hardware,14,19082,USD,North America,Salesperson_9,Won
O-600030,2024-04-01,102,Analytics Suite,Software,15,890400,PKR,Pakistan,Salesperson_1,Won
O-600031,2023-10-21,101,CRM Pro,Software,5,1992200,PKR,Pakistan,Salesperson_1,Won
O-600032,2024-07-11,201,POS Terminal,Hardware,3,1935,USD,North America,Salesperson_1,Won
O-600033,2024-04-16,101,CRM Pro,Software,8,2168,USD,North America,Salesperson_3,Won
O-600034,2023-12-31,201,POS Terminal,Hardware,14,23716,EUR,Europe,Salesperson_3,Won
O-600035,2023-10-07,102,Analytics Suite,Software,18,6451200,PKR,Pakistan,Salesperson_8,Won
O-600036,2023-08-22,102,Analytics Suite,Software,5,4890,USD,North America,Salesperson_6,Won
O-600037,2024-04-26,102,Analytics Suite,Software,18,5940,EUR,Europe,Salesperson_3,Won
O-600038,2023-06-22,101,CRM Pro,Software,14,13454,EUR,Europe,Salesperson_2,Won
O-600039,2023-02-01,102,Analytics Suite,Software,16,8677760,PKR,Pakistan,Salesperson_2,Won
O-600040,2024-01-12,101,CRM Pro,Software,3,757350,JPY,Japan,Salesperson_9,Won
O-600041,2023-12-07,201,POS Terminal,Hardware,5,1978200,PKR,Pakistan,Salesperson_8,Won
O-600042,2024-02-20,101,CRM Pro,Software,18,16200,GBP,UK,Salesperson_4,Won
O-600043,2023-06-25,201,POS Terminal,Hardware,6,4404,GBP,UK,Salesperson_4,Won
O-600044,2024-02-10,102,Analytics Suite,Software,7,11263,EUR,Europe,Salesperson_1,Won
O-600045,2024-08-22,201,POS Terminal,Hardware,15,28005,USD,North America,Salesperson_7,Won
O-600046,2024-01-13,101,CRM Pro,Software,2,973840,PKR,Pakistan,Salesperson_2,Won
O-600047,2023-06-23,102,Analytics Suite,Software,3,4083,USD,North America,Salesperson_2,Won
O-600048,2023-03-13,201,POS Terminal,Hardware,8,14888,EUR,Europe,Salesperson_4,Won
O-600049,2024-06-05,201,POS Terminal,Hardware,5,1340250,JPY,Japan,Salesperson_7,Won
O-600050,2023-12-18,101,CRM Pro,Software,16,15472,GBP,UK,Salesperson_2,Won
O-600051,2024-05-01,102,Analytics Suite,Software,17,2679880,PKR,Pakistan,Salesperson_6,Won
O-600052,2023-03-17,201,POS Terminal,Hardware,15,23580,USD,North America,Salesperson_1,Won
O-600053,2023-10-30,101,CRM Pro,Software,16,5712000,PKR,Pakistan,Salesperson_3,Won
O-600054,2024-10-06,101,CRM Pro,Software,16,12272,EUR,Europe,Salesperson_7,Won
O-600055,2024-08-21,102,Analytics Suite,Software,15,1092000,PKR,Pakistan,Salesperson_8,Won
O-600056,2023-11-21,102,Analytics Suite,Software,9,10899,USD,North America,Salesperson_5,Won
O-600057,2024-06-02,101,CRM Pro,Software,14,4578,USD,North America,Salesperson_8,Won
O-600058,2023-07-18,201,POS Terminal,Hardware,18,20232,USD,North America,Salesperson_9,Won
O-600059,2024-06-27,102,Analytics Suite,Software,12,6300000,PKR,Pakistan,Salesperson_5,Won
O-600060,2024-03-28,101,CRM Pro,Software,7,805350,JPY,Japan,Salesperson_1,Won
O-600061,2023-06-26,102,Analytics Suite,Software,1,1502,USD,North America,Salesperson_5,Won
O-600062,2024-05-28,201,POS Terminal,Hardware,12,5928,EUR,Europe,Salesperson_4,Won
O-600063,2024-02-17,102,Analytics Suite,Software,1,1072,GBP,UK,Salesperson_9,Won
O-600064,2023-03-18,102,Analytics Suite,Software,17,2833050,JPY,Japan,Salesperson_7,Won
O-600065,2023-05-14,201,POS Terminal,Hardware,9,8559,GBP,UK,Salesperson_3,Won
O-600066,2024-11-09,201,POS Terminal,Hardware,13,1786200,JPY,Japan,Salesperson_5,Won
O-600067,2024-07-21,201,POS Terminal,Hardware,1,1030,USD,North America,Salesperson_5,Won
O-600068,2023-11-30,101,CRM Pro,Software,8,477120,PKR,Pakistan,Salesperson_4,Won
O-600069,2023-06-13,102,Analytics Suite,Software,16,19152,EUR,Europe,Salesperson_6,Won
O-600070,2023-08-05,102,Analytics Suite,Software,15,8400,GBP,UK,Salesperson_3,Won
O-600071,2023-02-14,101,CRM Pro,Software,9,3331440,PKR,Pakistan,Salesperson_4,Won
O-600072,2023-06-24,101,CRM Pro,Software,10,17930,USD,North America,Salesperson_8,Won
O-600073,2024-02-17,101,CRM Pro,Software,13,5473,USD,North America,Salesperson_1,Won
O-600074,2023-05-29,101,CRM Pro,Software,3,730800,JPY,Japan,Salesperson_9,Won
O-600075,2024-06-26,101,CRM Pro,Software,6,6006,USD,North America,Salesperson_2,Won
O-600076,2023-04-03,201,POS Terminal,Hardware,5,2340800,PKR,Pakistan,Salesperson_1,Won
O-600077,2024-11-28,201,POS Terminal,Hardware,20,27480,USD,North America,Salesperson_1,Won
O-600078,2024-01-26,201,POS Terminal,Hardware,4,3532,EUR,Europe,Salesperson_5,Won
O-600079,2023-01-25,201,POS Terminal,Hardware,2,1910,GBP,UK,Salesperson_7,Won
O-600080,2023-10-27,101,CRM Pro,Software,16,1680000,PKR,Pakistan,Salesperson_7,Won
O-600081,2024-03-31,101,CRM Pro,Software,2,3998,USD,North America,Salesperson_8,Won
O-600082,2023-01-25,102,Analytics Suite,Software,16,8736,USD,North America,Salesperson_5,Won
O-600083,2024-07-06,201,POS Terminal,Hardware,12,3813600,PKR,Pakistan,Salesperson_5,Won
O-600084,2024-07-30,101,CRM Pro,Software,1,130480,PKR,Pakistan,Salesperson_1,Won
O-600085,2024-07-18,101,CRM Pro,Software,13,2472600,JPY,Japan,Salesperson_2,Won
O-600086,2023-03-31,101,CRM Pro,Software,11,2436280,PKR,Pakistan,Salesperson_1,Won
O-600087,2024-07-18,102,Analytics Suite,Software,19,3572,GBP,UK,Salesperson_4,Won
O-600088,2023-02-11,201,POS Terminal,Hardware,19,20406,EUR,Europe,Salesperson_1,Won
O-600089,2024-11-11,101,CRM Pro,Software,9,5643,USD,North America,Salesperson_8,Won
O-600090,2023-02-17,101,CRM Pro,Software,1,1236,EUR,Europe,Salesperson_2,Won
O-600091,2024-06-07,201,POS Terminal,Hardware,3,608400,JPY,Japan,Salesperson_8,Won
O-600092,2024-02-22,101,CRM Pro,Software,6,7884,GBP,UK,Salesperson_9,Won
O-600093,2024-02-14,101,CRM Pro,Software,12,10872,USD,North America,Salesperson_4,Won
O-600094,2024-09-29,102,Analytics Suite,Software,13,6450080,PKR,Pakistan,Salesperson_4,Won
O-600095,2024-06-03,101,CRM Pro,Software,10,1432500,JPY,Japan,Salesperson_3,Won
O-600096,2024-03-20,102,Analytics Suite,Software,20,1708000,PKR,Pakistan,Salesperson_9,Won
O-600097,2023-02-08,201,POS Terminal,Hardware,15,1192800,PKR,Pakistan,Salesperson_2,Won
O-600098,2023-01-02,201,POS Terminal,Hardware,14,10626,GBP,UK,Salesperson_3,Won
O-600099,2024-09-29,101,CRM Pro,Software,8,4338880,PKR,Pakistan,Salesperson_9,Won
O-600100,2023-07-03,201,POS Terminal,Hardware,16,4128000,JPY,Japan,Salesperson_7,Won
O-600101,2023-02-07,101,CRM Pro,Software,13,5834920,PKR,Pakistan,Salesperson_2,Won
O-600102,2024-12-09,101,CRM Pro,Software,12,1182720,PKR,Pakistan,Salesperson_7,Won
O-600103,2023-04-29,101,CRM Pro,Software,8,1726800,JPY,Japan,Salesperson_4,Won
O-600104,2023-10-06,201,POS Terminal,Hardware,12,8976,GBP,UK,Salesperson_1,Won
O-600105,2024-09-12,201,POS Terminal,Hardware,9,2000880,PKR,Pakistan,Salesperson_8,Won
O-600106,2023-08-20,101,CRM Pro,Software,20,2066400,PKR,Pakistan,Salesperson_7,Won
O-600107,2023-01-24,101,CRM Pro,Software,12,16332,USD,North America,Salesperson_5,Won
O-600108,2024-12-07,101,CRM Pro,Software,17,16252,GBP,UK,Salesperson_6,Won
O-600109,2024-05-08,201,POS Terminal,Hardware,14,428400,JPY,Japan,Salesperson_1,Won
O-600110,2023-07-18,101,CRM Pro,Software,17,29512,USD,North America,Salesperson_9,Won
O-600111,2024-05-16,201,POS Terminal,Hardware,6,6624,USD,North America,Salesperson_7,Won
