sku_id,product_id,category,brand,first_tx_date,last_tx_date,active_months,orders,units_sold,gross_sales,discount_amount,net_sales,avg_selling_price,discount_ratio,returns_amount,return_rate_amount,store_coverage,channel_mix_online_pct
SKU00001,PR0001,Fashion,Adidas,2025-01-01,2025-12-30,12,178,179,1361632.45,67731.807856,1293899.92,7228.491173184357,0.04974309172493649,53385.32,0.04125923433089014,6,0.3743016759776536
SKU00003,PR0001,Fashion,Adidas,2025-01-01,2025-12-31,12,221,222,482252.89,21248.923227,461003.42,2076.591981981982,0.04406178514969604,9423.78,0.020441887394241024,6,0.3108108108108108
SKU00004,PR0002,Fashion,Outfitters,2025-01-04,2025-12-31,12,217,219,1614043.0,76785.842107,1537262.24,7019.462283105023,0.04757360374351861,67250.78,0.04374710979695956,6,0.3607305936073059
SKU00005,PR0002,Fashion,Outfitters,2025-01-07,2025-12-30,12,212,214,1839499.85,95465.731962,1744036.11,8149.701448598132,0.051897656834274816,87013.19,0.049891851149802165,6,0.308411214953271
SKU00006,PR0003,Electronics,Lenovo,2025-01-06,2025-12-29,12,132,132,1338846.62,63772.966918,1275075.9,9659.665909090909,0.04763276537083837,26164.940000000002,0.020520300007238788,6,0.3560606060606061
SKU00007,PR0003,Electronics,Lenovo,2025-01-02,2025-12-30,12,117,117,296816.29,14806.045337,282009.63,2410.338717948718,0.04988285965369354,13545.42,0.04803176402167543,6,0.3076923076923077
SKU00008,PR0004,Fashion,Levis,2025-01-02,2025-12-31,12,204,205,295240.62,12744.598784,282496.6,1378.0321951219512,0.04316682028374009,12875.75,0.045578424660686186,6,0.3073170731707317
SKU00009,PR0004,Fashion,Levis,2025-01-01,2025-12-31,12,206,207,1100757.86,48517.763168,1052243.46,5083.301739130435,0.044076690188703256,42431.89,0.040325163912161545,6,0.30434782608695654
SKU00010,PR0005,Attach & Addons,Spigen,2025-01-01,2025-12-31,12,231,292,2955339.68,160122.38736,2795213.4,9572.648630136986,0.054180704994290195,120051.46,0.042948942646024814,6,0.2636986301369863
SKU00011,PR0005,Attach & Addons,Spigen,2025-01-03,2025-12-31,12,224,274,3160069.36,146428.535589,3013642.6,10998.695620437957,0.046337127103121566,53205.03,0.01765472455161073,6,0.3248175182481752
