sales_date,channel_type,store_id,city,region,store_type,orders,units,gross_sales,discount_amount,net_sales,avg_order_value,discount_ratio,returns_amount,net_sales_after_returns
2025-01-01,online,ONLINE,,,,3,12,83629.05,3240.990246,80388.24,26796.08,0.03875435923282639,0.0,80388.24
2025-01-01,store,S001,Karachi,Sindh,flagship,4,16,348665.77,4306.934368,344356.52999999997,86089.13249999999,0.012352615996689322,24668.48,319688.05
2025-01-01,store,S002,Lahore,Punjab,mall,2,5,75393.16,4.31607,75389.11,37694.555,5.724750096693121e-05,0.0,75389.11
2025-01-01,store,S003,Islamabad,ICT,mall,2,10,650193.46,2921.195574,647271.5499999999,323635.77499999997,0.004492809838474844,0.0,647271.5499999999
2025-01-01,store,S004,Karachi,Sindh,flagship,4,12,346738.47,24502.911783999996,322247.62999999995,80561.90749999999,0.07066683943088288,0.0,322247.62999999995
2025-01-01,store,S005,Lahore,Punjab,high_street,6,17,434930.54,27341.976978,407584.88,67930.81333333334,0.06286515768241982,0.0,407584.88
2025-01-01,store,S006,Islamabad,ICT,mall,3,8,174248.36000000002,8660.021655,165582.18,55194.06,0.049699300785384724,0.0,165582.18
2025-01-02,online,ONLINE,,,,7,19,732420.08,16980.121119,715448.9299999999,102206.98999999999,0.02318358218551299,232648.43,482800.49999999994
2025-01-02,store,S001,Karachi,Sindh,flagship,6,15,346785.17,14566.668010000001,332224.08,55370.68,0.04200487584287414,0.0,332224.08
2025-01-02,store,S002,Lahore,Punjab,mall,1,2,59214.1,0.0,59214.1,59214.1,0.0,0.0,59214.1
2025-01-02,store,S003,Islamabad,ICT,mall,3,8,82654.33,216.464254,82437.81,27479.27,0.0026189100316946494,3524.64,78913.17
2025-01-02,store,S004,Karachi,Sindh,flagship,8,20,578880.38,71089.40599599999,507791.86,63473.9825,0.12280500160672225,27572.54,480219.32
2025-01-02,store,S005,Lahore,Punjab,high_street,6,16,160638.08000000002,15338.476617,145296.96,24216.16,0.09548468592876608,4925.1,140371.86
2025-01-02,store,S006,Islamabad,ICT,mall,10,34,538258.9,12301.624123,525958.03,52595.803,0.022854474162898188,0.0,525958.03
2025-01-03,online,ONLINE,,,,3,7,267763.3,2852.9119210000003,264908.36,88302.78666666667,0.010654603976721232,0.0,264908.36
2025-01-03,store,S001,Karachi,Sindh,flagship,5,19,135263.26,5890.544882,129372.25,25874.45,0.043548742518848056,3495.14,125877.11
2025-01-03,store,S004,Karachi,Sindh,flagship,2,3,30345.78,6053.673677,24293.21,12146.605,0.19948980309618008,0.0,24293.21
2025-01-03,store,S005,Lahore,Punjab,high_street,5,15,484540.64999999997,35165.600943,449369.93,89873.986,0.07257513057573188,0.0,449369.93
2025-01-03,store,S006,Islamabad,ICT,mall,6,14,777914.8200000001,23884.842484,754022.4,125670.40000000001,0.030703673294204627,0.0,754022.4
2025-01-04,online,ONLINE,,,,3,7,76631.89,5149.611156,71483.92,23827.97333333333,0.06719932336263662,13662.08,57821.84
2025-01-04,store,S001,Karachi,Sindh,flagship,3,8,44163.68,24.314414,44139.4,14713.133333333333,0.0005505522637606286,10094.24,34045.16
2025-01-04,store,S002,Lahore,Punjab,mall,3,10,87786.68,135.73540599999998,87650.72,29216.906666666666,0.0015461959149155656,0.0,87650.72
2025-01-04,store,S003,Islamabad,ICT,mall,6,14,192305.14,1289.953131,191014.63,31835.771666666667,0.006707845307722923,0.0,191014.63
2025-01-04,store,S004,Karachi,Sindh,flagship,4,9,83762.28,10579.228020999999,73181.81000000001,18295.452500000003,0.126300621484993,0.0,73181.81000000001
2025-01-04,store,S005,Lahore,Punjab,high_street,6,12,528169.26,38181.684235,489989.28,81664.88,0.07229062182641981,0.0,489989.28
2025-01-04,store,S006,Islamabad,ICT,mall,8,20,523743.2,28908.438932999998,494848.22,61856.0275,0.055195826758228074,0.0,494848.22
2025-01-05,online,ONLINE,,,,6,15,614144.2,27104.006975,587031.47,97838.57833333332,0.04413296905677853,0.0,587031.47
2025-01-05,store,S001,Karachi,Sindh,flagship,4,19,141302.29,2500.371913,138800.87,34700.2175,0.017695197388520736,0.0,138800.87
2025-01-05,store,S002,Lahore,Punjab,mall,4,14,490242.95,20323.064589999998,469919.38999999996,117479.84749999999,0.04145508791100412,0.0,469919.38999999996
2025-01-05,store,S003,Islamabad,ICT,mall,5,18,367708.25,190.371544,367516.74,73503.348,0.000517724429625933,3553.2,363963.54
2025-01-05,store,S004,Karachi,Sindh,flagship,5,18,425719.63,51337.478205,374369.34,74873.868,0.12058987790861324,0.0,374369.34
2025-01-05,store,S005,Lahore,Punjab,high_street,5,14,611928.21,59731.250111999994,552216.37,110443.274,0.09761153209785833,0.0,552216.37
2025-01-05,store,S006,Islamabad,ICT,mall,1,1,117100.99,10972.362763000001,106124.69,106124.69,0.0937,101310.94,4813.75
2025-01-06,online,ONLINE,,,,12,38,1572327.15,39533.19417,1532793.54,127732.795,0.025143109797474403,6529.21,1526264.33
2025-01-06,store,S001,Karachi,Sindh,flagship,4,15,679534.96,13505.609364999998,666035.96,166508.99,0.019874782255500142,0.0,666035.96
2025-01-06,store,S002,Lahore,Punjab,mall,1,2,8594.130000000001,59.378913999999995,8534.810000000001,8534.810000000001,0.006909240842295845,0.0,8534.810000000001
2025-01-06,store,S003,Islamabad,ICT,mall,2,6,91778.47,0.0,91778.48,45889.24,0.0,0.0,91778.48
2025-01-06,store,S004,Karachi,Sindh,flagship,1,6,242961.77,30949.23441,212021.91999999998,212021.91999999998,0.12738314513431476,9982.61,202039.31
2025-01-06,store,S005,Lahore,Punjab,high_street,8,23,385284.76,19661.667475,365632.29000000004,45704.036250000005,0.0510315213999121,0.0,365632.29000000004
2025-01-06,store,S006,Islamabad,ICT,mall,1,3,26057.39,1450.5055200000002,24607.15,24607.15,0.055665802292555015,0.0,24607.15
2025-01-07,online,ONLINE,,,,8,21,912540.8400000001,36414.651401,876127.71,109515.96375,0.039904681308290814,18584.91,857542.7999999999
2025-01-07,store,S001,Karachi,Sindh,flagship,3,11,328436.85,5138.3421,323296.0,107765.33333333333,0.015644840400825914,0.0,323296.0
2025-01-07,store,S002,Lahore,Punjab,mall,5,10,89405.73,9349.537936,80054.85,16010.970000000001,0.104574258674472,0.0,80054.85
2025-01-07,store,S004,Karachi,Sindh,flagship,7,20,173973.86000000002,27421.214617,146553.31,20936.187142857143,0.15761686621771798,11224.02,135329.29
2025-01-07,store,S005,Lahore,Punjab,high_street,2,5,33391.35,2853.5021540000002,30538.87,15269.435,0.08545632788132257,0.0,30538.87
2025-01-07,store,S006,Islamabad,ICT,mall,4,14,202426.85,7487.314146000001,194939.80000000002,48734.950000000004,0.0369877520990916,0.0,194939.80000000002
2025-01-08,online,ONLINE,,,,6,17,408558.16000000003,17596.46527,390961.69999999995,65160.283333333326,0.04306967034999374,5194.99,385766.70999999996
2025-01-08,store,S001,Karachi,Sindh,flagship,2,3,373595.61,0.0,373595.61,186797.805,0.0,227840.39,145755.21999999997
2025-01-08,store,S002,Lahore,Punjab,mall,3,7,116003.85,1209.685302,114793.64,38264.54666666667,0.010427975468055586,0.0,114793.64
2025-01-08,store,S003,Islamabad,ICT,mall,2,3,232140.27,11530.722674999999,220613.63999999998,110306.81999999999,0.04967135893742176,0.0,220613.63999999998
2025-01-08,store,S004,Karachi,Sindh,flagship,3,7,114540.68000000001,9245.496436,105292.92,35097.64,0.08071801595730005,0.0,105292.92
2025-01-08,store,S005,Lahore,Punjab,high_street,5,10,321871.25,27797.664058999995,294086.41000000003,58817.28200000001,0.08636268091356403,1403.36,292683.05000000005
2025-01-08,store,S006,Islamabad,ICT,mall,2,2,16496.11,422.23073999999997,16073.8,8036.9,0.02559577621633221,0.0,16073.8
2025-01-09,online,ONLINE,,,,8,24,697358.86,19477.066658,677861.49,84732.68625,0.027929761526224818,124726.16,553135.33
2025-01-09,store,S001,Karachi,Sindh,flagship,5,13,576160.0499999999,6538.32643,569612.1900000001,113922.43800000001,0.011348107925913991,2828.4,566783.79
2025-01-09,store,S002,Lahore,Punjab,mall,3,7,252560.84999999998,29076.875375000003,223490.07,74496.69,0.11512819732353612,0.0,223490.07
2025-01-09,store,S003,Islamabad,ICT,mall,1,1,4336.32,29.486975999999995,4306.65,4306.65,0.0068,0.0,4306.65
2025-01-09,store,S004,Karachi,Sindh,flagship,3,9,147324.29,15119.062193,132205.52000000002,44068.506666666675,0.10262436827626999,0.0,132205.52000000002
2025-01-09,store,S005,Lahore,Punjab,high_street,2,7,779977.78,32398.368710000002,747571.4700000001,373785.73500000004,0.041537553428765625,0.0,747571.4700000001
2025-01-09,store,S006,Islamabad,ICT,mall,3,7,39029.37,1485.92938,37543.35,12514.449999999999,0.0380720821268701,0.0,37543.35
2025-01-10,online,ONLINE,,,,5,13,66810.27,2484.030691,64325.82,12865.164,0.0371803719847263,0.0,64325.82
2025-01-10,store,S001,Karachi,Sindh,flagship,8,23,402098.23,415.520836,401683.3,50210.4125,0.0010333814103086203,0.0,401683.3
2025-01-10,store,S002,Lahore,Punjab,mall,2,8,44957.86,313.82898900000004,44644.299999999996,22322.149999999998,0.006980514397260012,0.0,44644.299999999996
2025-01-10,store,S003,Islamabad,ICT,mall,3,10,74415.95999999999,1012.1131890000001,73404.44,24468.146666666667,0.013600754313993936,1655.78,71748.66
2025-01-10,store,S004,Karachi,Sindh,flagship,5,13,316955.82,44091.446371,272858.29,54571.657999999996,0.13910912369742887,0.0,272858.29
2025-01-10,store,S006,Islamabad,ICT,mall,4,6,24907.850000000002,1451.309697,23456.76,5864.19,0.05826716063409727,0.0,23456.76
2025-01-11,online,ONLINE,,,,5,9,303179.93,9651.763647,293520.27999999997,58704.056,0.031835100849188794,0.0,293520.27999999997
2025-01-11,store,S001,Karachi,Sindh,flagship,2,4,15083.0,0.0,15083.0,7541.5,0.0,0.0,15083.0
2025-01-11,store,S002,Lahore,Punjab,mall,3,7,230596.0,5000.241991,225595.58000000002,75198.52666666667,0.02168399274488716,0.0,225595.58000000002
2025-01-11,store,S003,Islamabad,ICT,mall,2,6,178259.20999999996,8381.046619,169880.34000000003,84940.17000000001,0.04701606508297665,0.0,169880.34000000003
2025-01-11,store,S004,Karachi,Sindh,flagship,7,20,1208132.03,173408.070471,1034727.11,147818.15857142856,0.14353403946338547,0.0,1034727.11
2025-01-11,store,S005,Lahore,Punjab,high_street,5,16,188018.52,10765.828959999999,177249.66999999998,35449.933999999994,0.05725940699884245,0.0,177249.66999999998
2025-01-11,store,S006,Islamabad,ICT,mall,1,3,375756.97000000003,910.4908,374863.91000000003,374863.91000000003,0.0024230842610850306,0.0,374863.91000000003
2025-01-12,online,ONLINE,,,,10,27,266240.93,11025.499755,255215.36000000002,25521.536,0.0414117384393151,10260.720000000001,244954.64
2025-01-12,store,S001,Karachi,Sindh,flagship,4,7,27383.68,480.427768,26903.33,6725.8325,0.017544309895529017,0.0,26903.33
2025-01-12,store,S002,Lahore,Punjab,mall,2,6,637039.36,27081.311628,609973.15,304986.575,0.042511206258903686,0.0,609973.15
2025-01-12,store,S003,Islamabad,ICT,mall,5,15,141963.53,4117.926599,137846.28,27569.256,0.02900693297074256,0.0,137846.28
2025-01-12,store,S004,Karachi,Sindh,flagship,5,15,204296.54,26377.054053,177922.03,35584.406,0.1291116044011318,0.0,177922.03
2025-01-12,store,S005,Lahore,Punjab,high_street,3,10,341828.31000000006,18545.707795000002,323281.5,107760.5,0.05425445246182213,0.0,323281.5
