customer_id,segment,city,region,first_purchase_date,first_tx_date,last_tx_date,recency_days,active_months,orders,units,gross_sales,discount_amount,net_sales,avg_order_value,avg_units_per_order,discount_ratio,returns_amount,net_sales_after_returns,return_rate_amount,return_rate_flag,frequency_per_month,rfm_score,churn_risk_bucket,top_category
C00001,one_time,Karachi,Sindh,2025-12-15,2025-02-22,2025-04-15,260.0,2,2,3.0,243599.05000000002,888.057229,242710.45,121355.225,1.5,0.003645569344379627,0.0,242710.45,0.0,0,1.0,123,medium,Electronics
C00002,price_sensitive,Islamabad,ICT,2025-03-13,2025-01-02,2025-07-29,155.0,5,6,19.0,569257.3,43585.481542,525668.72,87611.45333333332,3.1666666666666665,0.07656552062134293,0.0,525668.72,0.0,0,1.2,135,medium,Electronics
C00003,high_return,Lahore,Punjab,2025-04-13,2025-01-27,2025-06-29,185.0,5,5,8.0,357587.26,24807.777396,332781.57,66556.314,1.6,0.06937545089274154,18366.32,314415.25,0.055190315978135444,0,1.0,124,medium,Electronics
C00004,one_time,Islamabad,ICT,2025-08-03,2025-05-10,2025-05-10,235.0,1,1,1.0,208475.19,0.0,208475.19,208475.19,1.0,0.0,0.0,208475.19,0.0,0,1.0,123,medium,Electronics
C00005,loyal,Islamabad,ICT,2025-03-29,2025-02-13,2025-12-26,5.0,6,7,24.0,626141.2899999999,18269.533185999997,607862.95,86837.56428571428,3.4285714285714284,0.029177972252876022,15397.11,592465.84,0.02532990372254141,0,1.1666666666666667,535,medium,Electronics
C00006,price_sensitive,Lahore,Punjab,2025-12-26,2025-01-19,2025-10-20,72.0,3,3,3.0,12661.71,1731.303742,10930.19,3643.396666666667,1.0,0.13673538108201816,0.0,10930.19,0.0,0,1.0,221,medium,Fashion
C00007,regular,Islamabad,ICT,2025-05-30,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111,unknown,
C00008,loyal,Karachi,Sindh,2025-12-10,2025-01-06,2025-11-06,55.0,8,11,39.0,1396659.25,24330.844569,1372331.95,124757.45,3.5454545454545454,0.017420744944767308,18155.8,1354176.15,0.013229889459325055,0,1.375,345,medium,Electronics
C00009,regular,Islamabad,ICT,2025-10-21,2025-01-08,2025-08-09,144.0,3,5,10.0,74716.96,2722.893791,71992.56999999999,14398.514,2.0,0.036442780742150106,0.0,71992.56999999999,0.0,0,1.6666666666666667,152,medium,Fashion
C00010,loyal,Karachi,Sindh,2025-10-04,2025-02-28,2025-11-04,57.0,6,8,24.0,783543.5,21579.026184,761961.97,95245.24625,3.0,0.02754030399588536,11664.43,750297.5399999999,0.01530841493309699,0,1.3333333333333333,345,medium,Electronics
