snapshot_date,store_id,sku_id,stock_on_hand,stock_on_order,units_28d,avg_daily_units_28d,momentum_factor,adj_avg_daily_units,days_of_inventory,adj_days_of_inventory,stockout_risk_flag,overstock_flag,reorder_qty_suggestion
2025-01-01,S001,SKU00001,48,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00003,38,0,2.0,0.07142857142857142,3.0,0.10714285714285714,532.0,354.6666666666667,0,1,0.0
2025-01-01,S001,SKU00004,23,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00005,49,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00006,31,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00007,29,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00008,38,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00009,45,0,1.0,0.03571428571428571,2.0,0.05357142857142857,1260.0,840.0,0,1,0.0
2025-01-01,S001,SKU00010,41,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00011,21,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00012,31,0,1.0,0.03571428571428571,2.0,0.05357142857142857,868.0,578.6666666666667,0,1,0.0
2025-01-01,S001,SKU00013,26,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00014,56,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00016,55,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00017,37,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00018,23,0,2.0,0.07142857142857142,3.0,0.10714285714285714,322.0,214.66666666666669,0,1,0.0
2025-01-01,S001,SKU00019,53,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00020,42,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00022,17,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00023,22,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00024,50,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00025,31,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00026,12,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00027,55,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00028,11,28,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00029,55,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00030,37,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00031,41,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00032,15,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00033,41,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00034,30,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00035,11,0,1.0,0.03571428571428571,2.0,0.05357142857142857,308.0,205.33333333333334,0,1,0.0
2025-01-01,S001,SKU00036,55,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00037,55,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00039,29,0,1.0,0.03571428571428571,2.0,0.05357142857142857,812.0,541.3333333333334,0,1,0.0
2025-01-01,S001,SKU00040,25,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00041,46,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00042,40,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00043,52,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00044,39,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00045,20,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00046,10,28,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00047,56,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00048,36,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00049,39,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00050,47,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00051,31,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00052,10,28,1.0,0.03571428571428571,2.0,0.05357142857142857,280.0,186.66666666666669,0,1,0.0
2025-01-01,S001,SKU00054,32,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00055,59,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00056,49,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00057,14,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00059,42,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00060,39,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00061,38,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00062,20,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00063,29,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00064,43,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00065,13,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00066,26,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00067,20,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00068,17,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00069,31,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00070,11,28,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00071,10,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00073,50,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00074,42,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00076,44,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00077,13,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00078,20,10,1.0,0.03571428571428571,2.0,0.05357142857142857,560.0,373.33333333333337,0,1,0.0
2025-01-01,S001,SKU00079,54,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00080,36,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00081,56,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00082,9,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00083,45,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00084,21,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00085,7,18,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00086,42,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00087,19,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00089,54,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00090,43,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00091,21,10,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
2025-01-01,S001,SKU00092,15,0,0.0,0.0,1.0,0.0,inf,inf,0,1,0.0
