sales_date,store_id,sku_id,orders,units,gross_sales,discount_amount,net_sales,discount_ratio,returns_amount,net_sales_after_returns
2025-01-01,S000,SKU00018,1,1,3585.77,99.684406,3486.09,0.0278,0.0,3486.09
2025-01-01,S000,SKU00022,1,2,7043.88,0.0,7043.88,0.0,0.0,7043.88
2025-01-01,S000,SKU00068,1,1,8335.54,200.88651400000003,8134.76,0.0241,0.0,8134.76
2025-01-01,S000,SKU00070,1,2,4746.530000000001,369.724587,4376.84,0.07789365852528056,0.0,4376.84
2025-01-01,S000,SKU00077,1,1,22852.49,1206.611472,21647.02,0.0528,0.0,21647.02
2025-01-01,S000,SKU00091,1,1,1282.01,31.793847999999997,1250.27,0.0248,0.0,1250.27
2025-01-01,S000,SKU00121,1,1,12809.09,979.895385,11828.6,0.0765,0.0,11828.6
2025-01-01,S000,SKU00127,1,1,6711.98,36.91589,6674.85,0.0055,0.0,6674.85
2025-01-01,S000,SKU00161,1,2,16261.76,315.478144,15945.93,0.0194,0.0,15945.93
2025-01-01,S001,SKU00003,2,2,4389.549999999999,198.75859599999998,4190.82,0.04527994805845702,0.0,4190.82
2025-01-01,S001,SKU00009,1,1,5505.92,0.0,5505.92,0.0,0.0,5505.92
2025-01-01,S001,SKU00012,1,1,215860.74,0.0,215860.74,0.0,0.0,215860.74
2025-01-01,S001,SKU00018,1,2,6884.86,0.0,6884.86,0.0,6276.79,608.0699999999997
2025-01-01,S001,SKU00035,1,1,2440.51,0.0,2440.51,0.0,0.0,2440.51
2025-01-01,S001,SKU00039,1,1,3862.07,2.317242,3859.82,0.0006,0.0,3859.82
2025-01-01,S001,SKU00052,1,1,11405.98,86.685448,11318.81,0.0076,0.0,11318.81
2025-01-01,S001,SKU00078,1,1,13897.4,0.0,13897.4,0.0,12958.63,938.7700000000004
2025-01-01,S001,SKU00114,1,1,7565.15,51.44302,7513.56,0.0068,0.0,7513.56
2025-01-01,S001,SKU00124,1,1,42721.51,3635.600501,39084.08,0.0851,0.0,39084.08
2025-01-01,S001,SKU00133,1,1,2308.08,0.0,2308.08,0.0,0.0,2308.08
2025-01-01,S001,SKU00146,1,1,25567.57,0.0,25567.57,0.0,0.0,25567.57
2025-01-01,S001,SKU00155,1,1,4765.13,332.129561,4433.06,0.0697,4063.02,370.0400000000004
2025-01-01,S001,SKU00166,1,1,1491.3,0.0,1491.3,0.0,1370.04,121.25999999999999
2025-01-01,S002,SKU00077,1,2,47445.62,0.0,47445.62,0.0,0.0,47445.62
2025-01-01,S002,SKU00139,1,1,17951.13,0.0,17951.13,0.0,0.0,17951.13
2025-01-01,S002,SKU00141,1,1,2802.96,0.0,2802.96,0.0,0.0,2802.96
2025-01-01,S002,SKU00148,1,1,7193.45,4.31607,7189.4,0.0006,0.0,7189.4
2025-01-01,S003,SKU00010,1,1,10255.2,0.0,10255.2,0.0,0.0,10255.2
2025-01-01,S003,SKU00031,1,1,9639.3,693.06567,8945.77,0.0719,0.0,8945.77
2025-01-01,S003,SKU00063,1,1,3265.55,0.0,3265.55,0.0,0.0,3265.55
2025-01-01,S003,SKU00092,1,1,4473.84,0.0,4473.84,0.0,0.0,4473.84
2025-01-01,S003,SKU00143,1,1,381183.48,0.0,381183.48,0.0,0.0,381183.48
2025-01-01,S003,SKU00144,1,1,204749.55,0.0,204749.55,0.0,0.0,204749.55
2025-01-01,S003,SKU00149,1,1,24925.2,1655.03328,23269.93,0.0664,0.0,23269.93
2025-01-01,S003,SKU00154,1,2,9562.9,409.29211999999995,9153.7,0.0428,0.0,9153.7
2025-01-01,S003,SKU00167,1,1,2138.44,163.804504,1974.53,0.0766,0.0,1974.53
2025-01-01,S004,SKU00001,1,1,7845.58,1079.551808,6766.12,0.1376,0.0,6766.12
2025-01-01,S004,SKU00022,1,2,7550.62,499.85104399999994,7050.75,0.0662,0.0,7050.75
2025-01-01,S004,SKU00026,1,1,4773.83,398.137422,4375.63,0.0834,0.0,4375.63
2025-01-01,S004,SKU00046,1,1,2815.68,263.26608,2552.34,0.0935,0.0,2552.34
2025-01-01,S004,SKU00099,1,1,5858.34,292.91700000000003,5565.7,0.05,0.0,5565.7
2025-01-01,S004,SKU00102,1,1,3496.19,657.28372,2839.0,0.188,0.0,2839.0
2025-01-01,S004,SKU00133,1,1,2377.7,434.88133,1942.8,0.1829,0.0,1942.8
2025-01-01,S004,SKU00136,1,1,6578.57,965.0762189999999,5613.26,0.1467,0.0,5613.26
2025-01-01,S004,SKU00141,1,1,2825.89,381.21256099999994,2444.55,0.1349,0.0,2444.55
2025-01-01,S004,SKU00156,1,1,297867.79,19182.685675999997,278697.04,0.0644,0.0,278697.04
2025-01-01,S004,SKU00171,1,1,4748.28,348.048924,4400.44,0.0733,0.0,4400.44
2025-01-01,S005,SKU00010,1,1,9988.85,712.205005,9276.62,0.0713,0.0,9276.62
2025-01-01,S005,SKU00014,1,1,262766.73,17815.584294,244948.31,0.0678,0.0,244948.31
2025-01-01,S005,SKU00033,1,1,1511.98,89.055622,1422.95,0.0589,0.0,1422.95
2025-01-01,S005,SKU00034,1,1,4999.35,87.48862500000001,4911.85,0.0175,0.0,4911.85
2025-01-01,S005,SKU00035,1,1,2312.54,59.663532,2252.82,0.0258,0.0,2252.82
2025-01-01,S005,SKU00045,1,1,8902.24,591.108736,8311.19,0.0664,0.0,8311.19
2025-01-01,S005,SKU00059,1,1,7117.48,574.3806359999999,6543.27,0.08069999999999998,0.0,6543.27
2025-01-01,S005,SKU00091,1,1,1302.2,84.90343999999999,1217.34,0.0652,0.0,1217.34
2025-01-01,S005,SKU00095,1,1,5353.93,385.48296,4968.63,0.072,0.0,4968.63
2025-01-01,S005,SKU00112,1,1,4157.51,350.478093,3806.83,0.0843,0.0,3806.83
2025-01-01,S005,SKU00121,1,1,13174.12,1035.485832,12138.5,0.0786,0.0,12138.5
2025-01-01,S005,SKU00123,1,1,56667.36,2952.369456,53714.64,0.0521,0.0,53714.64
2025-01-01,S005,SKU00140,1,1,1602.97,102.59008,1500.34,0.064,0.0,1500.34
2025-01-01,S005,SKU00153,1,1,35816.18,1901.839158,33913.87,0.0531,0.0,33913.87
2025-01-01,S005,SKU00154,1,1,4929.06,221.31479400000003,4707.63,0.0449,0.0,4707.63
2025-01-01,S005,SKU00161,1,1,7931.19,237.93569999999997,7693.26,0.03,0.0,7693.26
2025-01-01,S005,SKU00169,1,1,6396.85,140.091015,6256.83,0.0219,0.0,6256.83
2025-01-01,S006,SKU00036,1,1,1035.47,9.422777,1026.03,0.0091,0.0,1026.03
2025-01-01,S006,SKU00063,1,1,3255.65,46.555795,3209.08,0.0143,0.0,3209.08
2025-01-01,S006,SKU00067,1,1,146298.09,7783.0583879999995,138509.24,0.0532,0.0,138509.24
2025-01-01,S006,SKU00074,1,1,3035.07,61.611921,2973.34,0.0203,0.0,2973.34
2025-01-01,S006,SKU00076,1,1,5898.04,0.0,5898.04,0.0,0.0,5898.04
